SKU,Description
RK130,"1 Kriti Round Black Stone, 1 Vedika Blue Kundan 2016, 2 Small Yellow Cushion, 1 Roli Chawal"
RK1083,"White mug with print, Pearl rakhi with pink and green beads, Roli Chawal, Small yellow Cushion"
RK468,"1 Rishi Bracelets Chain Green Stone, 1 Kriti Round Black Stone, 1 Rishi Lumba Big Blue Stone Kundan Lumba, Celebration Box 131.3 gm,Small Yellow Cushion,Greeting card, Roli Chawal"
RK869,"1 Shree Ganesha AD bracelet, 1 Rishi Designer Rudraksh Two Stone, 1 Marble Ganesha Idol Diameter 3.5 inches, 1 Small Blue Card, 1 Roli Chawal"
RK131,"1 Vedika Orange Kundan 2016, 1 Vedika Gold With Blue Flower, 2 Small Yellow Cushion, 2 Cadbury Fruit & Nut Chocolate 38gm, 1 Roli Chawal"
RK146,"Cadbury Celebrations Chocolate 131.3 gms, Red & yellow woven rakhi with silver stones, one rudraksh bead rakhi, rakhi with red thread, silver stones and red stone studded in the centre & three yellow small cushions & Roli Chawal"
RK1163,"Temptations Cashew Appeal 72gms, Temptations Rum Raisins 72gms, Haldiram Tin Gulab Jamun 1000gms, White Mug with Print"
RK1164,"Ferrero Rocher 200gms, Yardley London Gold Body Spray For Men 150ml, Brother frame A4 Size"
RK617,"1 Shree Rudraksh Bracelet, 1 Choco-Swiss Pretty Good Heavenly Confections 85gm, 1 Elepahant Small Card, 1 Roli Chawal"
RK398,"1 Nityam- Rishi Rakhi, 1 Black & Golden Standy Buddha, 1 Roli Chawal"
RK1170,"White Mug with Print, Royal Dansk Cookies 400gms"
RK1348,"1 Shree Ganesha AD, 1 Shree Om Trishul Chain Bracelet, 1 Roli Chawal"
RK2052,"1 Rishi Designer Round Kundan With Green N Red Beads, 1 Rishi Designer Smal Square With Red Bead, 2 Small Yellow Cushion, Sky Blue Bucket Diameter 4 & height 4 inches, 1 Roli Chawal"
RK433,"1 radhe shri, 2 Cadbury Five Star Chocolate 21.5gm, 1 Rakhi Card, 1 Roli Chawal"
RK1184,"Personalised Chocolate Cover, Cadbury Dairy Milk Silk 150gms"
RK854,"Chhota hanuman rakhi , roli chawal"
RK1136,"A golden pooja thaali with roli chawal & rakhi, Haldiram Kaju Burfi 250gms"
RK1887,"1 Rishi Rakhi, 1 Cadbury Celebrations Chocolate Box 131.3 gm, Roli Chawal"
RK1625,"1 Rishi Designer Kaudi, 1 Plastic Decorative Roli Chawal Tray Diameter 2.5 Inches, 1 Almonds 100gms, 1 Small Blue Card, 1 Roli Chawal"
RK81,"Kundan Rakhi with pearl stings, Kundan Bajuband with Roli Chawal"
RK1207,"Rishi Designer Paper Rakhi, Roli Chawal"
RK1208,"Rishi Designer Large Mirror, Roli Chawal"
RK1957,"1 Rishi Bracelets Lv Red, 1 Rishi Bracelets H Red, 1 Assorted Square Chocolates 100gms, 1 Orange Wooden Box 4x4x4inches, 2 Small Yellow Cushion, 1 Roli Chawal"
RK14,Pearl Peacock Lumba Rakhi Set with roli chawal
RK201,Stretchable Three Rudraksh Rakhi with brown beads and Roli Chawal
RK455,"5 Shubh orange and yellow Ganesha rakhi, 5 Cadbury Dairy Milk Chocolate 14gms, Almonds 100gms, Cashewsnuts 100gms, Ferrero Rocher 8 pcs., Wooden Yellow Tray with six portion 10x6, Roli Chawal"
RK1978,"1 Vedika Antique Gold Big 2016, 1 Small Yellow Cushion, 1 Kaju Barfi 250gms, 1 Shahi Mixture 400gms, 1 Golden Roli Chawal Box, 1 Roli Chawal"
RK110,2 Rudraksh Rakhi with a single rudraksh and brown and red beads along with decorative pieces which has Roli Chawal
RK351,"Mauli rakhi with golden beads,Red & Golden Potley,Small Yellow Cushion,Almonds 100gms,Cashewsnuts 100gms,Roli Chawal"
RK1217,"Vedika Neon Beads 2016, Roli Chawal"
RK513,"1 Shree OM, 1 Plastic Decorative Roli Chawal Tray Diameter 2.5 Inches, 1 Small Card, Kaju Burfi 250gms, Roli Chawal"
RK1219,"Vedika Antique Gold Small 2016, Roli Chawal"
RK1340,"1 Clocks n clocks kids rakhi, Roli Chawal"
RK1649,"1 Rishi American Diamond Shree Sai Small, 1 Rishi American Diamond Ganesha Face Small, 2 Small Yellow Cushion, 1 Ferrero Rocher Chocolate 5 pcs., 1 Roli Chawal"
