City ID,Category Name,Products
10552,Flowers,ADDONFG30|adon20|ADDONFG22|adon16|adon6|ADDONFG28|ADDONFG1|adon13|adon12|adon1|adon2|adon3|adon4|adon5
10552,Soft Toys,adon10|ADDONFG21
10552,Chocolates,adon17|ADDONFG2|ADDONFG16|ADDONFG17|ADDONFG18|ADDONFG3
10552,Party Props,adon9|ADDONFG24|adon19|ADDONFG5|ADDONFG9|adon8|ADDONFG12|ADDONFG13|ADDONFG15|adon14
10553,Best Seller,ADDONFG30|ADDONFG22|adon11|ADDONFG24|ADDONFG1|ADDONFG9|ADDONFG5|adon9|adon16|ADDONFG20|ADDONFG18|adon6|adon17|ADDONFG3
10553,Flowers,ADDONFG30|adon20|ADDONFG22|adon16|adon6|ADDONFG28|ADDONFG1|adon13|adon12|adon1|adon2|adon3|adon4|adon5
10553,Soft Toys,adon10|ADDONFG21
10553,Chocolates,adon17|ADDONFG2|ADDONFG16|ADDONFG17|ADDONFG18|ADDONFG3
10553,Party Props,adon9|ADDONFG24|adon19|ADDONFG5|ADDONFG9|adon8|ADDONFG12|ADDONFG13|ADDONFG15|adon14
10554,Best Seller,ADDONFG30|ADDONFG22|adon11|ADDONFG24|ADDONFG1|ADDONFG9|ADDONFG5|adon9|adon16|ADDONFG20|ADDONFG18|adon6|adon17|ADDONFG3
10554,Flowers,ADDONFG30|adon20|ADDONFG22|adon16|adon6|ADDONFG28|ADDONFG1|adon13|adon12|adon1|adon2|adon3|adon4|adon5
10554,Soft Toys,adon10|ADDONFG21
10554,Chocolates,adon17|ADDONFG2|ADDONFG16|ADDONFG17|ADDONFG18|ADDONFG3
10554,Party Props,adon9|ADDONFG24|adon19|ADDONFG5|ADDONFG9|adon8|ADDONFG12|ADDONFG13|ADDONFG15|adon14
10555,Best Seller,ADDONFG30|ADDONFG22|adon11|ADDONFG24|ADDONFG1|ADDONFG9|ADDONFG5|adon9|adon16|ADDONFG20|ADDONFG18|adon6|adon17|ADDONFG3
10555,Flowers,ADDONFG30|adon20|ADDONFG22|adon16|adon6|ADDONFG28|ADDONFG1|adon13|adon12|adon1|adon2|adon3|adon4|adon5
10555,Soft Toys,adon10|ADDONFG21
10555,Chocolates,adon17|ADDONFG2|ADDONFG16|ADDONFG17|ADDONFG18|ADDONFG3
10555,Party Props,adon9|ADDONFG24|adon19|ADDONFG5|ADDONFG9|adon8|ADDONFG12|ADDONFG13|ADDONFG15|adon14
10556,Best Seller,ADDONFG30|ADDONFG22|adon11|ADDONFG24|ADDONFG1|ADDONFG9|ADDONFG5|adon9|adon16|ADDONFG20|ADDONFG18|adon6|adon17|ADDONFG3
10556,Flowers,ADDONFG30|adon20|ADDONFG22|adon16|adon6|ADDONFG28|ADDONFG1|adon13|adon12|adon1|adon2|adon3|adon4|adon5
10556,Soft Toys,adon10|ADDONFG21
10556,Chocolates,adon17|ADDONFG2|ADDONFG16|ADDONFG17|ADDONFG18|ADDONFG3
10556,Party Props,adon9|ADDONFG24|adon19|ADDONFG5|ADDONFG9|adon8|ADDONFG12|ADDONFG13|ADDONFG15|adon14
10557,Best Seller,ADDONFG30|ADDONFG22|adon11|ADDONFG24|ADDONFG1|ADDONFG9|ADDONFG5|adon9|adon16|ADDONFG20|ADDONFG18|adon6|adon17|ADDONFG3
10557,Flowers,ADDONFG30|adon20|ADDONFG22|adon16|adon6|ADDONFG28|ADDONFG1|adon13|adon12|adon1|adon2|adon3|adon4|adon5
10557,Soft Toys,adon10|ADDONFG21
10557,Chocolates,adon17|ADDONFG2|ADDONFG16|ADDONFG17|ADDONFG18|ADDONFG3
10557,Party Props,adon9|ADDONFG24|adon19|ADDONFG5|ADDONFG9|adon8|ADDONFG12|ADDONFG13|ADDONFG15|adon14
10558,Best Seller,ADDONFG30|ADDONFG22|adon11|ADDONFG24|ADDONFG1|ADDONFG9|ADDONFG5|adon9|adon16|ADDONFG20|ADDONFG18|adon6|adon17|ADDONFG3
10558,Flowers,ADDONFG30|adon20|ADDONFG22|adon16|adon6|ADDONFG28|ADDONFG1|adon13|adon12|adon1|adon2|adon3|adon4|adon5
10558,Soft Toys,adon10|ADDONFG21
10558,Chocolates,adon17|ADDONFG2|ADDONFG16|ADDONFG17|ADDONFG18|ADDONFG3
10558,Party Props,adon9|ADDONFG24|adon19|ADDONFG5|ADDONFG9|adon8|ADDONFG12|ADDONFG13|ADDONFG15|adon14
10559,Best Seller,ADDONFG30|ADDONFG22|adon11|ADDONFG24|ADDONFG1|ADDONFG9|ADDONFG5|adon9|adon16|ADDONFG20|ADDONFG18|adon6|adon17|ADDONFG3
